"dist2road"	"fai"	"temp"	"cort"
6.78	5.25	22.3	76.9072
9.43	5.37	16.6	321.2778
14.41	7.57	18.7	5.0446
22.72	7.45	22.5	7.987
5.2	4.46	20.6	634.0028
22.48	4.21	29	2.9798
23.63	7.86	22.9	2.391
16.59	9.57	19.8	2.6834
15.8	7.59	19.2	5.0392
1.73	7.37	26.8	25.371
5.31	7.16	25.5	18.412
4.58	9.91	17.5	76.4258
17.24	7.05	16	14.2086
9.73	8.1	26.3	37.8312
19.29	7.61	24.3	23.0478
12.54	5.43	17.5	18.1504
18	5.55	15.9	25.2128
24.8	8.38	16.6	1.5802
9.62	6.72	20.7	16.4414
19.48	5.05	17.5	26.3226
23.38	8.48	19.5	2.0884
5.46	4.63	17.9	33.244
16.36	9.19	18.9	3.6348
3.31	7.69	17.7	230.2812
6.83	7.34	22.2	109.7752
9.78	5.97	26.6	7.7816
0.53	6.72	15.4	116.1626
9.68	7	22.9	57.5812
21.77	5.09	28.2	1.441
8.64	7.18	20.6	111.4774
12.16	4.45	15.7	21.8138
15.07	5.67	17.1	21.9832
12.44	5.28	19.8	22.9086
4.82	5.71	17.3	367.7966
20.72	9.37	17	0.52
16.78	6.68	18.3	8.1556
19.9	8.68	18.4	1.227
2.88	9.28	17	50.5334
18.15	6.48	29.7	75.9222
10.4	4.38	19.9	10.9634
20.56	6.01	22.6	6.1966
16.25	8.34	25.2	5.2664
19.62	6.03	16.5	35.2204
13.92	7.78	16.8	3.8512
13.34	9.04	15.8	12.4714
19.78	9.14	28.9	15.3362
0.78	6.35	25.1	87.916
12.04	6.28	16.4	10.6946
18.36	9.37	22.4	2.7542
17.38	7.87	21.9	9.8406
12.04	8.45	20.6	4.016
21.56	7.63	29.9	17.2782
11.06	9.42	17.6	9.5416
6.27	5.76	27.2	3.301
1.95	5.15	16	45.9054
2.67	9.32	21	161.203
8.04	7.02	17.1	11.7948
13.06	9.26	17.9	6.6798
16.62	5.14	27.6	16.2268
10.29	8.55	25.8	2.8228
22.84	8.35	19	3.7114
7.48	9.66	22.4	22.9302
11.58	7.29	16.2	110.5694
8.44	8.27	20.3	56.3852
16.34	6.33	29.5	12.1734
6.6	4.61	24.4	75.44
12.07	9.56	25	14.3218
19.2	5.7	19.7	3.6604
2.29	7.54	21.1	69.9938
21.91	4.66	29.9	11.6436
8.61	9.04	27.8	26.6898
21.02	5.91	29.3	2.0414
8.8	8.7	27.2	71.744
8.48	5.61	26.7	91.5936
12.01	5.31	19	360.5318
22.33	7.1	26.4	0.5454
21.64	5.61	29.8	3.5194
9.87	5.09	19.4	7.7988
19.48	7.11	21	3.6168
24.02	7.38	27.2	3.5062
10.98	4.77	16.2	222.3348
17.87	5.54	20.5	7.315
10.12	8.31	21.6	4.644
8.27	9.77	17.4	9.5004
18.98	4.6	23.7	24.0342
5.23	8.58	29.6	35.2844
17.84	9.69	29.8	11.8388
3.22	8.91	17.6	26.6
6.29	5.85	23.1	11.2466
3.75	7.9	20.8	117.3066
6.14	9.72	25.1	5.9266
1.66	9.72	19	65.3134
16.13	6.04	22	21.16
21.93	5.57	17.6	8.905
19.52	4.99	20.5	59.1964
19.97	5.93	25.9	6.0046
11.49	7.06	22.3	4.964
10.37	9.54	16	10.7994
20.31	7.07	26.8	3.9076
15.2	5.55	21.3	31.957
16.44	4.28	29.7	106.8916
8.96	6.51	19.2	5.241
6.9	9.12	27.7	15.6558
24.82	6.08	16.2	3.6606
15.91	4.79	28.3	33.3884
5.49	6.25	22.1	28.9976
3.41	7.79	16.6	72.8744
12.06	6.34	20	31.0476
23.12	8.14	27.6	2.2962
15.05	8.14	19.2	6.8582
24.41	7.33	23.8	10.6792
18.35	6.58	27.6	15.0822
9.05	6.72	16.1	209.1002
10.9	5.84	25.5	22.4942
3.88	7.47	25.5	14.6206
0.52	9.46	22	30.4908
17.95	4.86	21.6	15.322
2.76	6.49	23.4	64.0344
11.27	5.27	28.9	22.0132
16.07	6.57	18.5	2.2396
24.8	4.8	18.3	2.2916
12.49	6.76	21.3	5.8332
12.21	9.66	20	10.0958
4.5	8.57	28	46.458
18.92	9.6	17.7	12.9236
11.46	6.82	22.4	14.3776
12.88	7.62	21.4	32.5782
